Order of Points,Attraction,Attraction Name,lat,lon
0,walt-disney-world-railroad-main-street-usa-station,"Walt Disney World Railroad - Main Street, U.S.A.",28.416637,-81.581202
1,town-square-theater-tinker-bell,Meet Tinker Bell at Town Square Theater,28.416727,-81.580815
2,town-square-theater-mickey-mouse,See Mickey at Town Square Theater,28.416727,-81.580746
3,flag-retreat,Flag Retreat,28.416858,-81.581199
4,dapper-dans,Dapper Dans,28.4174102,-81.581217
5,festival-fantasy-parade,Disney Festival of Fantasy Parade,28.417527,-81.581208
6,main-street-trolley-parade,Main Street Trolley Show,28.417527,-81.581208
7,main-street-philharmonic,Main Street Philharmonic,28.417527,-81.581208
8,pirates-of-the-caribbean,Pirates of the Caribbean,28.41796992,-81.5842252
9,jungle-cruise,Jungle Cruise,28.41797818,-81.58343932
10,caseys-corner-pianist,Casey's Corner Pianist,28.418025,-81.581366
11,walt-disneys-carousel-of-progress,Walt Disney's Carousel of Progress,28.4180311,-81.57900831
12,tomorrowland-transit-authority-peoplemover,Tomorrowland Transit Authority PeopleMover,28.418155,-81.579033
13,enchanted-tiki-room,Walt Disney's Enchanted Tiki Room,28.41822646,-81.58373838
14,buzz-lightyears-space-ranger-spin,Buzz Lightyear's Space Ranger Spin,28.41828688,-81.57940865
15,a-pirates-adventure-treasures-of-seven-seas,A Pirate's Adventure ~ Treasures of the Seven Seas,28.41837254,-81.58466913
16,monsters-inc-laugh-floor,"Monsters, Inc. Laugh Floor",28.41839776,-81.57973588
17,magic-carpets-of-aladdin,The Magic Carpets of Aladdin,28.41843,-81.583472
18,swiss-family-treehouse,Swiss Family Treehouse,28.41843255,-81.58279827
19,astro-orbiter,Astro Orbiter,28.41849262,-81.57898879
20,country-bear-jamboree,Country Bear Jamboree,28.41878613,-81.58372229
21,frontierland-shootin-arcade,Frontierland Shootin' Arcade,28.418827,-81.583219
22,space-mountain,Space Mountain,28.41883417,-81.57819629
23,frontierland-hoedown,Frontierland Hoedown,28.418889,-81.583628
24,disney-enchantment,Disney Enchantment,28.419147,-81.581205
25,once-upon-a-time,Once Upon a Time,28.419147,-81.581205
26,minnies-wonderful-christmastime-fireworks,Minnie’s Wonderful Christmastime Fireworks,28.419147,-81.581205
27,magic-kingdom-welcome-show,Let the Magic Begin,28.419147,-81.581205
28,tomorrowland-speedway,Tomorrowland Speedway,28.419368,-81.579302
29,splash-mountain,Splash Mountain,28.419418,-81.58498
30,hall-of-presidents,The Hall of Presidents,28.41944842,-81.58232486
31,bibbidi-bobbidi-boutique,Bibbidi Bobbidi Boutique,28.419479,-81.581235
32,tom-sawyer-island,Tom Sawyer Island,28.419503,-81.58428
33,liberty-square-riverboat,Liberty Square Riverboat,28.41955634,-81.58279827
34,walt-disney-world-railroad-frontierland-station,Walt Disney World Railroad - Frontierland,28.419679,-81.58502
35,big-thunder-mountain-railroad,Big Thunder Mountain Railroad,28.41996385,-81.58464229
36,princess-fairytale-hall-elena-cinderella,See Cinderella and a Visiting Princess at Princess Fairytale Hall,28.420012,-81.58094
37,mad-tea-party,Mad Tea Party,28.42002304,-81.57982489
38,mickeys-philharmagic,Mickey's PhilharMagic,28.42003049,-81.58148399
39,princess-fairytale-hall-rapunzel-tiana,See Princess Tiana and a Visiting Princess at Princess Fairytale Hall,28.42004575,-81.58091744
40,prince-charming-regal-carrousel,Prince Charming Regal Carrousel,28.420169,-81.581255
41,haunted-mansion,The Haunted Mansion,28.4202,-81.58288
42,many-adventures-of-winnie-the-pooh,The Many Adventures of Winnie the Pooh,28.420212,-81.580266
43,peter-pans-flight,Peter Pan's Flight,28.42026403,-81.58189168
44,seven-dwarfs-mine-train,Seven Dwarfs Mine Train,28.42037,-81.58031
45,its-a-small-world,"""it's a small world""",28.42048164,-81.5820392
46,dumbo-the-flying-elephant,Dumbo the Flying Elephant,28.42050903,-81.57894731
47,barnstormer,The Barnstormer,28.42076616,-81.57839075
48,ariels-grotto,Meet Ariel at Her Grotto,28.42089328,-81.57961314
49,walt-disney-world-railroad-fantasyland-station,Walt Disney World Railroad - Fantasyland,28.420947,-81.578385
50,casey-jr-splash-n-soak-station,Casey Jr. Splash 'N' Soak Station,28.420958,-81.578701
51,enchanted-tales-with-belle,Enchanted Tales with Belle,28.42099058,-81.58093011
52,under-the-sea,Under the Sea ~ Journey of the Little Mermaid,28.42112032,-81.57997524
53,petes-silly-sideshow-goofy-donald,Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,28.421282,-81.578932
54,petes-silly-sideshow-minnie-daisy,Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,28.421282,-81.578932
